"Date","Price","Open","High","Low","Vol.","Change %"
"09/28/2020","13,200","13,200","13,200","13,200","0.10K","7.32%"
"09/25/2020","12,300","12,300","12,300","12,300","0.20K","-8.21%"
"09/23/2020","13,400","13,000","13,400","13,000","2.20K","3.08%"
"09/22/2020","13,000","13,900","13,900","13,000","4.00K","-4.41%"
"09/18/2020","13,600","14,900","14,900","13,600","1.11K","-1.45%"
"09/16/2020","13,800","13,600","13,800","13,600","0.60K","-0.72%"
"09/15/2020","13,900","12,900","14,000","12,900","2.80K","4.51%"
"09/14/2020","13,300","11,700","13,300","11,700","1.10K","0.76%"
"09/11/2020","13,200","13,200","13,200","13,200","0.10K","3.13%"
"09/10/2020","12,800","13,600","13,600","12,800","0.20K","0.79%"
"09/09/2020","12,700","12,700","12,700","12,700","0.10K","-3.05%"
"09/04/2020","13,100","12,700","13,100","12,700","1.40K","2.34%"
"09/03/2020","12,800","12,800","12,800","12,800","2.70K","0.00%"
"09/01/2020","12,800","12,800","12,800","12,800","1.60K","-3.03%"
"08/31/2020","13,200","13,200","13,200","13,200","0.10K","5.60%"
"08/26/2020","12,500","13,400","13,400","12,500","2.01K","-3.10%"
"08/25/2020","12,900","13,300","13,300","12,500","5.01K","7.50%"
"08/24/2020","12,000","11,100","12,000","11,100","1.41K","-5.51%"
"08/21/2020","12,700","12,700","12,700","12,700","0.15K","-9.93%"
"08/20/2020","14,100","14,200","14,200","13,100","2.00K","8.46%"
"08/19/2020","13,000","14,200","14,200","13,000","1.20K","-8.45%"
"08/18/2020","14,200","14,000","14,200","13,500","1.60K","7.58%"
"08/14/2020","13,200","12,900","13,200","12,900","4.23K","5.60%"
"08/13/2020","12,500","12,000","12,500","11,900","1.50K","-2.34%"
"08/12/2020","12,800","12,800","12,800","12,800","1.00K","6.67%"
"08/11/2020","12,000","12,000","12,000","12,000","0.60K","0.00%"
"08/10/2020","12,000","12,000","12,000","12,000","2.81K","0.84%"
"08/07/2020","11,900","11,900","11,900","11,900","1.00K","-7.03%"
"08/06/2020","12,800","12,800","12,800","12,800","1.00K","9.40%"
"08/05/2020","11,700","11,700","11,700","11,700","1.01K","-12.03%"
"08/04/2020","13,300","13,300","13,300","13,300","1.00K","9.02%"
"08/03/2020","12,200","12,200","12,200","12,200","1.00K","8.93%"
"07/31/2020","11,200","11,200","11,200","11,200","1.00K","-8.94%"
