Date,Price,Open,High,Low,Vol.,Change %
27/07/2015,"27,479","27,210","27,749","26,941",1.59M,0.99%
28/07/2015,"27,749","27,749","28,557","27,479",1.29M,0.98%
29/07/2015,"27,479","27,749","28,018","27,479",683.54K,-0.97%
30/07/2015,"27,479","27,479","27,479","26,941",552.56K,0.00%
31/07/2015,"26,887","27,749","27,749","26,887",643.20K,-2.15%
03/08/2015,"25,809","26,833","26,833","25,216",1.91M,-4.01%
04/08/2015,"24,785","25,701","25,917","24,785",1.29M,-3.97%
05/08/2015,"24,839","24,785","25,216","24,624",1.77M,0.22%
06/08/2015,"24,300","24,839","25,270","24,193",1.54M,-2.17%
07/08/2015,"24,193","24,300","24,408","23,708",2.36M,-0.44%
10/08/2015,"25,001","24,031","25,001","24,031",710.42K,3.34%
11/08/2015,"25,378","25,216","25,809","24,947",2.60M,1.51%
12/08/2015,"24,516","25,109","25,216","24,408",1.79M,-3.40%
13/08/2015,"23,708","24,516","24,516","23,654",2.04M,-3.30%
14/08/2015,"23,330","23,708","23,923","22,846",2.65M,-1.59%
17/08/2015,"22,091","23,384","23,600","21,714",2.67M,-5.31%
18/08/2015,"22,899","22,091","22,899","21,983",1.80M,3.66%
19/08/2015,"23,330","22,792","23,438","22,199",1.94M,1.88%
20/08/2015,"23,115","23,061","23,438","22,738",1.32M,-0.92%
21/08/2015,"22,846","22,738","22,846","21,876",1.99M,-1.16%
24/08/2015,"21,283","22,630","22,630","21,283",3.57M,-6.84%
25/08/2015,"21,606","20,475","21,930","20,475",3.35M,1.52%
26/08/2015,"22,091","21,606","22,522","21,606",1.77M,2.24%
27/08/2015,"22,415","22,468","23,061","22,253",2.53M,1.47%
28/08/2015,"23,384","22,415","23,384","22,415",3.68M,4.32%
31/08/2015,"22,899","23,438","23,492","22,899",2.26M,-2.07%
01/09/2015,"22,899","22,953","23,169","22,630",1.13M,0.00%
03/09/2015,"22,415","22,792","23,061","22,253",2.48M,-2.11%
04/09/2015,"22,630","22,415","22,792","22,415",938.89K,0.96%
07/09/2015,"22,684","22,630","22,953","22,576",1.02M,0.24%
08/09/2015,"23,923","22,684","23,923","22,630",4.66M,5.46%
09/09/2015,"24,678","24,408","25,109","24,246",3.12M,3.16%
10/09/2015,"24,785","24,246","25,216","24,139",2.39M,0.43%
11/09/2015,"24,139","24,516","24,839","24,031",1.54M,-2.61%
14/09/2015,"23,277","24,085","24,624","23,277",2.00M,-3.57%
15/09/2015,"23,007","23,277","23,384","22,953",1.25M,-1.16%
16/09/2015,"23,708","23,169","23,762","23,169",987.51K,3.05%
17/09/2015,"23,492","23,869","23,869","23,492",670.47K,-0.91%
18/09/2015,"23,708","23,708","24,139","23,708",5.33M,0.92%
21/09/2015,"24,085","23,708","24,139","23,708",635.36K,1.59%
22/09/2015,"24,031","24,085","24,300","23,923",512.30K,-0.22%
23/09/2015,"23,977","23,923","24,031","23,708",1.29M,-0.22%
24/09/2015,"23,762","24,085","24,246","23,762",949.32K,-0.90%
25/09/2015,"23,708","23,762","23,869","23,654",806.40K,-0.23%
28/09/2015,"23,169","23,762","23,762","23,169",1.74M,-2.27%
29/09/2015,"23,061","23,007","23,115","22,792",1.56M,-0.47%
30/09/2015,"23,115","23,223","23,384","23,115",592.45K,0.23%
01/10/2015,"23,169","23,169","23,277","23,115",482.72K,0.23%
02/10/2015,"23,169","23,223","23,438","23,007",713.05K,0.00%
05/10/2015,"23,438","23,330","23,546","23,169",578.93K,1.16%
06/10/2015,"24,408","23,708","24,462","23,708",2.26M,4.14%
07/10/2015,"24,354","24,570","25,001","24,354",2.63M,-0.22%
08/10/2015,"25,270","24,462","25,378","24,462",2.31M,3.76%
09/10/2015,"25,055","25,593","25,593","25,055",1.22M,-0.85%
12/10/2015,"25,917","25,216","26,078","25,109",2.62M,3.44%
13/10/2015,"25,809","25,755","25,863","25,593",1.27M,-0.42%
14/10/2015,"25,432","25,809","25,809","25,432",1.59M,-1.46%
15/10/2015,"25,540","25,540","25,647","25,378",868.91K,0.42%
16/10/2015,"25,162","25,540","25,755","25,162",1.18M,-1.48%
19/10/2015,"24,785","25,162","25,162","24,785",1.50M,-1.50%
20/10/2015,"24,462","24,839","24,839","24,408",1.62M,-1.30%
21/10/2015,"24,570","24,462","25,109","24,462",1.14M,0.44%
22/10/2015,"24,893","24,785","24,893","24,570",620.46K,1.31%
23/10/2015,"25,270","25,109","25,378","25,055",1.31M,1.51%
26/10/2015,"25,162","25,378","25,432","25,162",1.31M,-0.43%
